year,total_gold,total_population,gold_production,population_growth,gold_rush,price,price_yoy
1681,8736,600000000,6,2508000,-12.17,,
1682,8742,602508000,6,2508000,-12.12,,
1683,8748,605026483,6,2518483,-12.08,,
1684,8754,607555494,6,2529011,-12.04,,
1685,8760,610095076,6,2539582,-12.00,,
1686,8766,612645274,6,2550197,-11.96,,
1687,8772,615206131,6,2560857,-11.92,,
1688,8778,617777692,6,2571562,-11.88,,
1689,8784,620360003,6,2582311,-11.84,,
1690,8790,622953108,6,2593105,-11.80,,
1691,8796,625557052,6,2603944,-11.76,,
1692,8802,628171880,6,2614828,-11.72,,
1693,8808,630797639,6,2625758,-11.68,,
1694,8814,633434373,6,2636734,-11.64,,
1695,8820,636082129,6,2647756,-11.60,,
1696,8826,638740952,6,2658823,-11.56,,
1697,8832,641410889,6,2669937,-11.52,,
1698,8838,644091987,6,2681098,-11.48,,
1699,8844,646784291,6,2692305,-11.45,,
1700,8850,649487850,6,2703558,-11.41,,
1701,8858,652202709,8,2714859,-10.63,,
1702,8866,654928916,8,2726207,-10.60,,
1703,8874,657666519,8,2737603,-10.57,,
1704,8882,660415565,8,2749046,-10.54,,
1705,8890,663176102,8,2760537,-10.51,,
1706,8898,665948178,8,2772076,-10.48,,
1707,8906,668731842,8,2783663,-10.44,,
1708,8914,671527141,8,2795299,-10.41,,
1709,8922,674334124,8,2806983,-10.38,,
1710,8930,677152841,8,2818717,-10.35,,
1711,8938,679983340,8,2830499,-10.32,,
1712,8946,682825670,8,2842330,-10.29,,
1713,8954,685679881,8,2854211,-10.26,,
1714,8962,688546023.2,8,2866142,-10.22,,
1715,8970,691424145.5,8,2878122,-10.19,,
1716,8978,694314298.5,8,2890153,-10.16,,
1717,8986,697216532.2,8,2902234,-10.13,,
1718,8994,700130897.3,8,2914365,-10.10,,
1719,9002,703057444.5,8,2926547,-10.07,,
1720,9010,705996224.6,8,2938780,-10.04,,
1721,9025,708947288.8,15,2951064,-7.65,,
1722,9040,711910688.5,15,2963400,-7.64,,
1723,9055,714886475.2,15,2975787,-7.63,,
1724,9070,717874700.6,15,2988225,-7.61,,
1725,9085,720875416.9,15,3000716,-7.60,,
1726,9100,723888676.1,15,3013259,-7.59,,
1727,9115,726914530.8,15,3025855,-7.58,,
1728,9130,729953033.5,15,3038503,-7.57,,
1729,9145,733004237.2,15,3051204,-7.56,,
1730,9160,736068194.9,15,3063958,-7.55,,
1731,9175,739144960,15,3076765,-7.54,,
1732,9190,742234585.9,15,3089626,-7.53,,
1733,9205,745337126.5,15,3102541,-7.52,,
1734,9220,748452635.7,15,3115509,-7.50,,
1735,9235,751581167.7,15,3128532,-7.49,,
1736,9250,754722777,15,3141609,-7.48,,
1737,9265,757877518.2,15,3154741,-7.47,,
1738,9280,761045446.2,15,3167928,-7.46,,
1739,9295,764226616.2,15,3181170,-7.45,,
1740,9310,767421083.4,15,3194467,-7.44,,
1741,9330,770628903.6,20,3207820,-5.87,,
1742,9350,773850132.4,20,3221229,-5.87,,
1743,9370,777084825.9,20,3234694,-5.87,,
1744,9390,780333040.5,20,3248215,-5.88,,
1745,9410,783594832.6,20,3261792,-5.88,,
1746,9430,786870259,20,3275426,-5.88,,
1747,9450,790159376.7,20,3289118,-5.88,,
1748,9470,793462242.9,20,3302866,-5.88,,
1749,9490,796778915.1,20,3316672,-5.88,,
1750,9510,800109450.9,20,3330536,-5.88,,
1751,9530,803453908.4,20,3344458,-5.88,,
1752,9550,806812345.8,20,3358437,-5.88,,
1753,9570,810184821.4,20,3372476,-5.88,,
1754,9590,813571393.9,20,3386573,-5.88,,
1755,9610,816972122.4,20,3400728,-5.88,,
1756,9630,820387065.8,20,3414943,-5.88,,
1757,9650,823816283.8,20,3429218,-5.88,,
1758,9670,827259835.8,20,3443552,-5.88,,
1759,9690,830717781.9,20,3457946,-5.88,,
1760,9710,834190182.3,20,3472400,-5.88,,
1761,9726,837677097.2,16,3486915,-7.02,,
1762,9742,841178587.5,16,3501490,-7.01,,
1763,9758,844694714,16,3516126,-7.00,,
1764,9774,848225537.9,16,3530824,-6.99,,
1765,9790,851771120.6,16,3545583,-6.98,,
1766,9806,855331523.9,16,3560403,-6.97,,
1767,9822,858906809.7,16,3575286,-6.96,,
1768,9838,862497040.2,16,3590230,-6.95,,
1769,9854,866102277.8,16,3605238,-6.94,,
1770,9870,869722585.3,16,3620308,-6.93,,
1771,9886,873358025.7,16,3635440,-6.92,,
1772,9902,877008662.3,16,3650637,-6.91,,
1773,9918,880674558.5,16,3665896,-6.90,,
1774,9934,884355778.1,16,3681220,-6.89,,
1775,9950,888052385.3,16,3696607,-6.88,,
1776,9966,891764444.3,16,3712059,-6.87,,
1777,9982,895492019.6,16,3727575,-6.85,,
1778,9998,899235176.3,16,3743157,-6.84,,
1779,10014,902993979.3,16,3758803,-6.83,,
